index,Case,Spacecraft,Condition,SV1,SV2,SV3,SV4,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BV1,binary_condition
0,1,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
1,2,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
2,3,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
3,4,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
4,5,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
5,6,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
6,7,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
7,8,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
8,9,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
9,10,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
10,11,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
11,12,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
12,13,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
13,14,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
14,15,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
15,16,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
16,17,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
17,18,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
18,19,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
19,20,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
20,21,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
21,22,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
22,23,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
23,24,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
24,25,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
25,26,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
26,27,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
27,28,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
28,29,1,1,100,100,100,100,0,0,0,0,0,0,0,0,0
